JobTitle,JobCategory,Salary,Location,SkillsRequired,JobSummary
Digital Marketing Specialist,Marketing and Creative,£25000,Manchester,"['Campaign Management', 'Brand Strategy', 'Adobe Creative Suite']","Implement digital marketing strategies, including SEO, PPC, and social media."
Legal Assistant,Administrative,£28000,Manchester,"['Recruitment', 'Talent Acquisition', 'Onboarding']",Provide administrative support to legal teams and assist with legal research and document preparation
Software Developer,Technology and Data,£26000,Manchester,"['Docker', 'SQL', 'Machine Learning']","Develop and maintain software applications and systems, and write clean code in languages such as Python and JavaScript."
Product Designer,Marketing and Creative,£32000,London,"['Adobe Creative Suite', 'Content Management Systems', 'Google Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Web Developer,Technology and Data,£26000,Bristol,"['Cloud Computing', 'Data Warehousing', 'Django']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Event Coordinator,Marketing and Creative,£23000,Cambridge,"['Digital Marketing', 'SEO Optimisation', 'Campaign Management']","Plan and execute events, ensuring all aspects run smoothly, managing event logistics and budgets."
Web Developer,Technology and Data,£33000,Newcastle,"['Python Programming', 'Problem Solving', 'Version Control']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Technical Support Engineer,Technology and Data,£26000,Birmingham,"['APIs', 'Python Programming', 'ETL']","You should be able to diagnose and resolve technical issues, providing support to clients and customers."
Health and Safety Advisor,Engineering and Science,£23000,London,"['Product Development', 'Project Management Software', 'Mechanical Design']",Develop and implement health and safety policies; conducting risk assessments and ensuring compliance with safety regulations.
Sales Executive,Marketing and Creative,£29000,Sheffield,"['Market Research', 'Email Marketing', 'SEO Optimisation']",Must be able to develop and execute sales strategies to meet business objectives.
Operations Manager,Finance and Business,£22000,London,"['Financial Forecasting', 'Financial Analysis', 'Financial Reporting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Social Media Manager,Marketing and Creative,£26000,Leeds,"['Google Analytics', 'Market Research', 'Graphic Design']","Manage social media accounts and create content to engage with followers, and also analyse social media metrics and develop strategies for growth."
Product Designer,Marketing and Creative,£26000,Cambridge,"['Email Marketing', 'SEO Optimisation', 'Google Analytics']","Design and develop new products, from concept to production. You will work on product specifications and testing."
Digital Marketing Specialist,Marketing and Creative,£26000,Bristol,"['Graphic Design', 'Digital Marketing', 'Brand Strategy']","Implement digital marketing strategies, including SEO, PPC, and social media."
Sales Executive,Marketing and Creative,£32000,Liverpool,"['Adobe Creative Suite', 'Google Analytics', 'Email Marketing']",Must be able to develop and execute sales strategies to meet business objectives.
Marketing Executive,Marketing and Creative,£30000,Newcastle,"['Digital Marketing', 'User Research', 'Content Creation']","Plan and execute marketing campaigns to promote products and services, through analysing market trends and tracking campaign performance."
Electrical Engineer,Engineering and Science,£35000,London,"['Project Management Software', 'Statistical Analysis', 'CAD Software']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Operations Manager,Finance and Business,£30000,Cambridge,"['Financial Modeling', 'Risk Assessment', 'Financial Forecasting']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Sales Executive,Marketing and Creative,£29000,Nottingham,"['User Research', 'Google Analytics', 'PPC Advertising']",Must be able to develop and execute sales strategies to meet business objectives.
Electrical Engineer,Engineering and Science,£34000,London,"['Engineering Design', 'Regulatory Compliance', 'Problem Solving']",Design and implement electrical systems and components for working on projects involving power generation and electronics.
Web Developer,Technology and Data,£29000,Sheffield,"['JavaScript', 'ETL', 'Machine Learning']","Build and maintain websites and web applications. You will have to be proficient in HTML, CSS and JavaScript."
Graphic Designer,Marketing and Creative,£34000,Bristol,"['Graphic Design', 'Content Management Systems', 'Digital Marketing']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Operations Manager,Finance and Business,£31000,Birmingham,"['Analytical Skills', 'Risk Assessment', 'Market Research']","Oversee daily operations of the organisation, ensuring efficiency and effectiveness to streamline processes."
Digital Marketing Specialist,Marketing and Creative,£27000,Cambridge,"['Content Creation', 'Campaign Management', 'Content Management Systems']","Implement digital marketing strategies, including SEO, PPC, and social media."
Civil Engineer,Engineering and Science,£30000,Cambridge,"['Lab Techniques', 'Research Methodology', 'Regulatory Compliance']","Design and oversee construction projects such as roads and bridges, ensuring compliance with safety regulations and environmental standards."
Graphic Designer,Marketing and Creative,£29000,Newcastle,"['Google Analytics', 'Digital Marketing', 'Brand Strategy']",Design visual assets for print and digital media. You must be proficient in design software such as Adobe Photoshop and Illustrator.
Engineering Graduate,Engineering and Science,£34000,Newcastle,"['Mechanical Design', 'Lab Techniques', 'Problem Solving']",Assist in engineering projects and gain hands-on experience by supporting senior engineers in design and testing.
Risk Analyst,Finance and Business,£29000,Bristol,"['Quantitative Analysis', 'Financial Analysis', 'Business Strategy']",You must be able to identify and assess potential risks to the organisation.
Quantity Surveyor,Engineering and Science,£30000,Newcastle,"['CAD Software', 'Statistical Analysis', 'Project Management Software']","Manage costs and budgets for construction projects. Conduct cost estimation, financial reporting, and contract administration."
